key,cct_mean,a,b
[S0001-14] 2025-6-24-2-16-16-8,4400,0.16057618147181696,51.475389256672834
[S0002-14] 2025-6-25-3-11-26-37,4400,0.5185389385710896,-34.786523680781514
[S0003-14] 2025-6-23-1-13-14-38,4400,0.013464126964856968,92.77095475916794
[S0004-14] 2025-6-23-1-13-37-55,4400,0.12475209692057068,69.7895426289566
[S0005-14] 2025-6-24-2-15-45-5,4400,0.3465543502592071,-10.604978744624479
[S0006-14] 2025-6-25-3-13-19-14,4400,-0.7417917493520991,279.7960059253218
[S0007-14] 2025-6-24-2-14-8-19,4400,0.33870745427797816,14.190203218537023
[S0008-14] 2025-6-25-3-12-1-13,4400,-0.5134317173909781,231.22602063484743
[S0009-14] 2025-6-16-1-14-39-15,4400,-0.9907767350533216,343.8615931796113
[S0010-14] 2025-6-23-1-14-35-10,4400,0.6834727173738284,-80.15633715942035
[S0011-14] 2025-6-25-3-14-1-27,4400,0.23862256901599305,33.39375394011392
[S0012-14] 2025-6-26-4-11-27-51,4400,-0.20902289656591108,151.6287217454186
