test_csv,model,accuracy,macro_f1(mean3),macro_f1(sklearn),f1_low,f1_normal,f1_high,cm_path
hm3-c930,RandomForest,0.651,0.3286045488999848,0.3286045488999848,0.09453941449235241,0.7923530703818759,0.09892116182572615,clf_results\hm3-c930_RandomForest_cross_csv_cm.png
hm3-i16,RandomForest,0.7162666666666667,0.4353435947738296,0.4353435947738296,0.18960605167501718,0.8350147996831617,0.28140993296331,clf_results\hm3-i16_RandomForest_cross_csv_cm.png
hm3-i16m,RandomForest,0.7029666666666666,0.4319560590858392,0.4319560590858392,0.2649018881895594,0.8300304233922082,0.20093586567575006,clf_results\hm3-i16m_RandomForest_cross_csv_cm.png
hm3-s9360,RandomForest,0.6757604412923562,0.34709917236513954,0.34709917236513954,0.10004194630872483,0.8193402853354967,0.12191528545119705,clf_results\hm3-s9360_RandomForest_cross_csv_cm.png
hm3-s9380,RandomForest,0.6937833333333333,0.3617499623481004,0.3617499623481004,0.10480236899703875,0.8220370294347059,0.1584104886125566,clf_results\hm3-s9380_RandomForest_cross_csv_cm.png
hm2-c930,RandomForest,0.7629666666666667,0.3482615281944335,0.3482615281944335,0.16624288221179673,0.8646696718530367,0.013872030518467141,clf_results\hm2-c930_RandomForest_cross_csv_cm.png
hm2-i15,RandomForest,0.81027,0.45648525784968225,0.45648525784968225,0.33246094708432156,0.89101815880095,0.14597666766377504,clf_results\hm2-i15_RandomForest_cross_csv_cm.png
hm2-i15m,RandomForest,0.8383637482058642,0.5131609390252568,0.5131609390252568,0.49002581553625907,0.9066814447148399,0.1427755568246716,clf_results\hm2-i15m_RandomForest_cross_csv_cm.png
