key,cct_mean,a,b
[S0001-13] 2025-6-24-2-16-12-45,4700,-1.2778533380640167,239.2437052304584
[S0002-13] 2025-6-25-3-11-24-33,4700,-2.844651821358852,412.79542391857495
[S0003-13] 2025-6-23-1-13-12-36,4700,1.8484982414241695,-111.83144817200112
[S0004-13] 2025-6-23-1-13-35-47,4700,-12.890868893043939,1559.895544118466
[S0005-13] 2025-6-24-2-15-0-25,4700,-1.6722441882707677,280.54304486087347
[S0006-13] 2025-6-25-3-13-16-59,4700,-4.507617501273457,602.3895296551971
[S0007-13] 2025-6-24-2-14-5-27,4700,3.29948400276904,-277.6259975719911
[S0008-13] 2025-6-25-3-11-58-53,4700,2.212632111010698,-146.9482974294557
[S0009-13] 2025-6-16-1-14-37-14,4700,2.797737554216639,-227.23105233557476
[S0010-13] 2025-6-23-1-14-33-0,4700,-5.46607359439583,708.3442649340782
[S0011-13] 2025-6-25-3-13-59-23,4700,-5.218044704987089,678.4893887050362
[S0012-13] 2025-6-26-4-11-25-10,4700,-1.2177361247192453,231.26867689954685
