train_file,hm1-c930.csv,hm1-i15.csv,hm1-i15m.csv,hm1-s9260.csv,hm1-s9280.csv,hm2-c930.csv,hm2-i15.csv,hm2-i15m.csv,prc-c920.csv,prc-i15.csv,prc-i15m.csv,prc-s9160.csv,prc-s9180.csv
prc-c920.csv,-66.562255859375,-40.5755615234375,-42.07459259033203,-101.70002746582031,-95.66781616210938,-29.76305389404297,-22.14460563659668,-24.20223617553711,,0.1594793200492859,0.12458163499832153,-2.53296160697937,0.17199736833572388
prc-i15.csv,-43.829803466796875,-42.89605712890625,-37.80094909667969,-55.04827117919922,-53.09306716918945,-14.965786933898926,-12.888832092285156,-13.374826431274414,0.14754432439804077,,0.20293205976486206,-0.19631505012512207,0.2255658507347107
prc-i15m.csv,-59.62250518798828,-57.98305892944336,-54.020172119140625,-72.59828186035156,-69.34156799316406,-21.179136276245117,-18.559019088745117,-19.84143829345703,0.0264168381690979,0.18620723485946655,,-0.5798729658126831,0.08746594190597534
prc-s9160.csv,-12.960140228271484,-21.96737289428711,-22.567079544067383,-5.779705047607422,-6.846561431884766,-6.289165496826172,-9.24068546295166,-9.277541160583496,-1.1479644775390625,-1.9332993030548096,-1.8214213848114014,,-1.0773184299468994
prc-s9180.csv,-6.026082992553711,-3.7528228759765625,-2.7043888568878174,-15.849361419677734,-13.17288875579834,-2.878466844558716,-1.6231353282928467,-2.2073686122894287,0.17518538236618042,0.06841623783111572,0.14155948162078857,-0.18532323837280273,
