test_subject,n_test_windows,R2,MAE,RMSE
[044] 2023-11-10-5-17-57-47,104,0.7902092933654785,3.025702953338623,3.7629126439717027
[089] 2023-11-12-0-10-50-10,131,0.670371413230896,5.8917236328125,11.552656282755928
[067] 2023-11-11-6-14-14-29,115,0.630174994468689,4.197214603424072,5.577849907596547
[063] 2023-11-11-6-13-35-52,118,0.5573608875274658,5.299605846405029,8.126738846385047
[102] 2023-11-12-0-13-29-22,156,0.5047152042388916,5.55077600479126,8.251267769246414
[084] 2023-11-11-6-17-15-22,130,0.49761122465133667,5.810237884521484,7.5448376924665554
[004] 2023-11-10-5-10-16-13,141,0.4849182963371277,7.828350067138672,8.581864561563957
[055] 2023-11-11-6-11-14-6,129,0.4414949417114258,8.594204902648926,11.161742495884484
[090] 2023-11-12-0-11-4-39,88,0.40822064876556396,5.718722820281982,7.257069002468683
[062] 2023-11-11-6-13-25-3,125,0.17515164613723755,7.9675397872924805,10.642795515019149
[016] 2023-11-10-5-13-1-42,159,0.15065264701843262,5.800647735595703,7.402009031433021
[074] 2023-11-11-6-15-36-55,99,-0.8952978849411011,11.802017211914062,14.392425855187524
[036] 2023-11-10-5-16-33-50,90,-1.2604906558990479,13.003826141357422,16.074406229921255
