train_file,hm1-c930.csv,hm1-i15.csv,hm1-i15m.csv,hm1-s9260.csv,hm1-s9280.csv,hm2-c930.csv,hm2-i15.csv,hm2-i15m.csv,hm3-c930.csv,hm3-i16.csv,hm3-i16m.csv,hm3-s9360.csv,hm3-s9380.csv,prc-c920.csv,prc-i15.csv,prc-i15m.csv,prc-s9160.csv,prc-s9180.csv
hm3-c930.csv,4.508389663696289,4.8594512939453125,3.6308822631835938,4.220683288574219,4.486818313598633,2.9151226350630837,3.1024932255820623,2.930740481517354,,5.961802381150266,6.240597118030895,6.3349928114149305,6.198900519476997,10.997468948364258,10.23557742436727,9.891775948660714,12.194664312868703,12.009323617686396
hm3-i16.csv,5.112908172607422,5.60682487487793,5.543010038488052,4.954873657226562,5.704512596130371,3.9168493336644667,3.803863101535373,4.114028055159772,6.743646349225726,,6.129786751487038,6.2064319186740455,6.304391140407986,10.673959096272787,8.39392179912991,8.385642841884069,8.935135043397242,9.23397816091344
hm3-i16m.csv,3.745096206665039,4.536004066467285,4.323091394761029,2.7965484619140626,3.566645622253418,2.7783050975580323,2.6914821200900607,2.879708587146196,6.9487591698056175,6.473842377358294,,6.448573133680555,6.625694444444444,9.409361574384901,8.41911522547404,8.42504299708775,9.529908108873432,9.612884742626246
hm3-s9360.csv,3.5673473358154295,4.2940168380737305,3.8192802877987133,2.8877166748046874,3.188180446624756,2.986755853411795,2.981902531215123,3.3107596225425846,6.69953609648205,6.364269824738198,6.527719844471324,,6.656689622667101,10.663568337758383,9.187456183963352,9.039795575823103,9.666622395418129,10.021338918934697
hm3-s9380.csv,6.894644927978516,6.8725996017456055,7.276189018698299,7.166729736328125,7.169712543487549,4.250016793437387,4.30775391109406,4.663108825683594,6.889949616931734,6.207664489746094,6.527325543490323,6.461597696940104,,8.85329728656345,7.321532620324029,7.169586454119001,8.634425571986608,8.847229667331861
prc-c920.csv,12.408911514282227,13.892065048217773,13.072223887724036,11.440963745117188,11.70967149734497,11.164350838496768,11.06202637203156,11.354603501616932,8.646923246837797,8.63729728536403,9.116723320700906,8.876970926920572,9.090396457248264,,2.6837442186143665,3.0217142377580917,2.224558875674293,2.30226256881935
prc-i15.csv,11.180206680297852,13.60536003112793,12.231052623075598,10.875829569498698,10.71094560623169,8.837384234899762,8.50752197750031,8.978713989257812,7.586054120744977,7.556210457010472,8.035349065607244,7.648125372992622,7.8617711385091145,3.037751409742567,,3.0135907854352677,2.5292384348759036,2.6379442629606826
prc-i15m.csv,11.780707931518554,13.520685195922852,13.46982125674977,11.715894571940105,11.65236234664917,9.756816074765961,9.173551286969866,9.612516434466253,8.201589856828962,8.042584196050116,8.684422579678623,8.482379998101129,8.70691901312934,3.1994857258266873,2.837379879421658,,2.8406526215222416,2.7568791707356772
prc-s9160.csv,11.965143966674805,13.919628143310547,11.490263546214385,12.465992228190105,13.417153358459473,9.053297327852798,8.967566777789404,9.33190749121494,7.469340914771671,7.678739994130236,8.038928465409713,7.360522800021702,7.549486287434896,3.0058943960401745,2.9429759979248047,2.99148199898856,,2.3075008115906646
prc-s9180.csv,11.516855239868164,12.597193717956543,11.216686921961168,12.493927510579427,13.004698753356934,7.911038628939925,7.457800850035652,7.523906332547547,7.455180395217169,7.267062248067653,7.691093444824219,7.483212788899739,7.433096822102865,3.875455061594645,3.542548338572184,3.847613034929548,3.4489855604106876,
