train_csv,test_csv,model,spo2_range,n_samples,MAE,R2
prc2-s9360.csv,prc2-i16m.csv,tcn,"[80, 90)",705,4.489696025848389,-3.8009557723999023
prc2-s9360.csv,prc2-i16m.csv,tcn,"[90, 100]",3704,4.5250701904296875,-3.3341994285583496
prc2-s9360.csv,prc2-s9360.csv,tcn,"[70, 80)",180,10.785152435302734,-19.471446990966797
prc2-s9360.csv,prc2-s9360.csv,tcn,"[80, 90)",602,5.2478132247924805,-3.977968692779541
prc2-s9360.csv,prc2-s9360.csv,tcn,"[90, 100]",3340,4.275575637817383,-2.94760799407959
prc2-s9360.csv,prc2-s9380.csv,tcn,"[70, 80)",126,14.245841979980469,-32.115238189697266
prc2-s9360.csv,prc2-s9380.csv,tcn,"[80, 90)",555,5.900613784790039,-5.506892204284668
prc2-s9360.csv,prc2-s9380.csv,tcn,"[90, 100]",3474,3.8139688968658447,-2.1862666606903076
prc2-s9380.csv,prc2-c930.csv,tcn,"[70, 80)",295,10.887019157409668,-25.437055587768555
prc2-s9380.csv,prc2-c930.csv,tcn,"[80, 90)",1207,4.469290256500244,-2.8334641456604004
prc2-s9380.csv,prc2-c930.csv,tcn,"[90, 100]",4481,4.154517650604248,-2.733452796936035
prc2-s9380.csv,prc2-i16.csv,tcn,"[70, 80)",155,13.432907104492188,-38.48466110229492
prc2-s9380.csv,prc2-i16.csv,tcn,"[80, 90)",612,4.570152282714844,-2.6490845680236816
prc2-s9380.csv,prc2-i16.csv,tcn,"[90, 100]",3853,4.681778907775879,-3.535233974456787
prc2-s9380.csv,prc2-i16m.csv,tcn,"[70, 80)",159,12.78067398071289,-27.193395614624023
prc2-s9380.csv,prc2-i16m.csv,tcn,"[80, 90)",705,5.12821102142334,-4.058382511138916
prc2-s9380.csv,prc2-i16m.csv,tcn,"[90, 100]",3704,3.7727620601654053,-2.268582582473755
prc2-s9380.csv,prc2-s9360.csv,tcn,"[70, 80)",180,11.49865436553955,-23.248661041259766
prc2-s9380.csv,prc2-s9360.csv,tcn,"[80, 90)",602,6.170497417449951,-5.687520503997803
prc2-s9380.csv,prc2-s9360.csv,tcn,"[90, 100]",3340,7.017551898956299,-12.993110656738281
prc2-s9380.csv,prc2-s9380.csv,tcn,"[70, 80)",126,12.034966468811035,-25.136049270629883
prc2-s9380.csv,prc2-s9380.csv,tcn,"[80, 90)",555,5.470611572265625,-4.503307342529297
prc2-s9380.csv,prc2-s9380.csv,tcn,"[90, 100]",3474,5.117278575897217,-5.381418704986572
