train_file,hm3-c930.csv,hm3-i16.csv,hm3-i16m.csv,hm3-s9360.csv,hm3-s9380.csv,prc-c920.csv,prc-i15.csv,prc-i15m.csv,prc-s9160.csv,prc-s9180.csv,prc2-c930.csv,prc2-i16.csv,prc2-i16m.csv,prc2-s9360.csv,prc2-s9380.csv
hm3-c930.csv,,5.695291996002197,5.527184963226318,5.442169189453125,5.497969150543213,7.230460166931152,7.406365871429443,7.464020729064941,7.472870349884033,7.57411527633667,6.018400192260742,6.1316447257995605,6.137253284454346,6.203566074371338,6.1674299240112305
hm3-i16.csv,5.706350326538086,,5.219070911407471,5.430819034576416,5.487428665161133,7.566372871398926,7.4271931648254395,7.3751678466796875,8.642932891845703,8.216093063354492,6.312840938568115,6.0229010581970215,6.0188679695129395,6.680576801300049,6.703173637390137
hm3-i16m.csv,5.623623371124268,5.286263465881348,,5.319151878356934,5.557119369506836,7.139341831207275,7.378671169281006,7.269222736358643,7.781003952026367,7.404311180114746,6.051390647888184,5.897760391235352,5.8237128257751465,6.200864315032959,6.12099027633667
hm3-s9360.csv,5.730259895324707,5.6275787353515625,5.431623935699463,,5.211363315582275,7.286457061767578,7.460022926330566,7.211300849914551,7.154896259307861,7.052036285400391,6.195553779602051,5.857503414154053,5.800951957702637,6.0331196784973145,6.031818866729736
hm3-s9380.csv,5.650416374206543,5.5579938888549805,5.3613996505737305,4.953433513641357,,7.259134769439697,7.568276405334473,7.532536506652832,7.709483623504639,7.317600727081299,6.662056922912598,6.338531017303467,6.314112663269043,6.531681537628174,6.369688034057617
prc-c920.csv,7.580192565917969,7.776861190795898,7.633532524108887,7.5436787605285645,7.411099433898926,,3.8152005672454834,3.6914737224578857,3.4592223167419434,3.4148976802825928,4.748400688171387,4.227011203765869,4.2661051750183105,4.390863418579102,4.08957576751709
prc-i15.csv,7.666682243347168,7.927966594696045,7.822065830230713,7.705056667327881,7.521968841552734,3.978126287460327,,3.7815630435943604,3.9471795558929443,3.7685048580169678,4.931091785430908,4.487091541290283,4.4983744621276855,4.563131332397461,4.313051223754883
prc-i15m.csv,7.633586406707764,7.7846903800964355,7.678553581237793,7.630452632904053,7.558315277099609,4.066632270812988,3.7963013648986816,,4.02370023727417,3.878709554672241,4.605963706970215,4.532594203948975,4.47022819519043,4.514793395996094,4.272347927093506
prc-s9160.csv,7.454899311065674,7.776973247528076,7.635075569152832,7.609897136688232,7.339895248413086,4.945889472961426,4.8050971031188965,4.778639316558838,,4.272270202636719,4.724357604980469,4.982586860656738,4.928554534912109,4.610125541687012,4.513430118560791
prc-s9180.csv,7.487245082855225,7.7184157371521,7.550851345062256,7.496759414672852,7.291027069091797,4.033310413360596,4.215346813201904,4.102929592132568,3.5781054496765137,,4.6588873863220215,4.312212944030762,4.309638500213623,4.2460737228393555,4.07286262512207
prc2-c930.csv,6.337246894836426,6.474440574645996,6.326385498046875,6.269043922424316,6.254652500152588,5.696847915649414,5.833192348480225,5.678390026092529,4.649028778076172,5.259337425231934,,4.845716953277588,4.710127830505371,4.6627092361450195,4.584112167358398
prc2-i16.csv,6.598819732666016,6.6584296226501465,6.427731513977051,6.345104217529297,6.341542720794678,4.646947860717773,4.762930870056152,4.592781066894531,4.572032928466797,4.459624767303467,4.331401824951172,,3.989920139312744,4.279793739318848,4.081444263458252
prc2-i16m.csv,6.281445026397705,6.434871196746826,6.223682880401611,6.176233768463135,6.095074653625488,5.268077373504639,5.143304347991943,5.044595718383789,5.015929698944092,4.967214584350586,4.370448112487793,4.128931522369385,,4.419894695281982,4.2703657150268555
prc2-s9360.csv,6.646948337554932,6.90478515625,6.7283477783203125,6.629251480102539,6.524723529815674,5.150333404541016,5.031335353851318,4.903674602508545,4.692436218261719,4.7328877449035645,4.272465705871582,4.308852672576904,4.3071489334106445,,4.053375720977783
prc2-s9380.csv,6.4806952476501465,6.77907133102417,6.579713344573975,6.492119789123535,6.431957244873047,5.0034918785095215,5.009358882904053,4.885808944702148,4.680880546569824,4.717684268951416,4.3013105392456055,4.2676682472229,4.257545471191406,4.210819721221924,
