cct_midpoints,slope,intercept,min(a),max(a),slope_trend,intercept_trend
3200,-151.22937801928012,90.27511652313892,-5.065345923620619,8.127192056630994,-152.19345025624764,92.17409760568925
3500,-152.41336302854307,92.04795942228931,-4.839842045249307,8.056570788637286,-151.88442814025754,92.61521683609514
3800,-152.16256027412265,95.21596130062352,-7.018550928748618,6.6977203731791715,-151.57540602426744,93.05633606650102
4100,-151.52786444484903,94.9850331864649,-6.970605709915325,6.422986773823424,-151.26638390827733,93.49745529690689
4400,-150.42612076760528,93.8275108169382,-6.946584975078793,5.126831454026478,-150.95736179228723,93.93857452731277
4700,-150.69809747554433,94.28035293731776,-2.369668747974785,9.938187546714628,-150.6483396762971,94.37969375771866
5000,-150.44731394721805,93.79025897338457,-7.17315073535391,3.9040986895152185,-150.339317560307,94.82081298812453
5300,-150.9696988672309,96.83232725522946,-1.4702516632167535,4.368326131418521,-150.0302954443169,95.2619322185304
5600,-148.7418593061911,94.19265033042821,-3.2126010672973817,6.177535745213866,-149.7212733283268,95.70305144893628
