CCT,slope,intercept,min(a),max(a)
3200,-112.93097114156319,92.18005106578923,-672.3075172387454,573.6103680177574
3500,-113.07836166095177,92.57174978267233,-1202.5855302897478,545.8074892576152
3800,-113.22575218034036,92.96344849955543,-264.24876852156916,231.30815584723592
4100,-113.37314269972894,93.35514721643851,-53.708993795307165,36.26843088855738
4400,-113.52053321911754,93.74684593332161,-133.19752403146532,227.14631920565893
4700,-113.66792373850612,94.13854465020471,-599.4905637531159,480.6807198876989
5000,-113.81531425789471,94.53024336708779,-713.6501541200112,650.4314463161168
5300,-113.96270477728329,94.92194208397089,-351.36824356422096,367.9608005907237
5600,-114.11009529667189,95.31364080085397,-254.3909853991404,330.72723031648985
