CCT,slope,intercept,min(a),max(a)
3200,-112.52096702967323,97.27845319992214,-297.8132700863762,326.0418212180241
3500,-112.61325467893487,97.28157815912023,-205.2601830759393,180.41713616112807
3800,-112.70554232819649,97.2847031183183,-411.4625385103488,471.3238452534247
4100,-112.79782997745811,97.2878280775164,-242.19020771551735,277.26290822797716
4400,-112.89011762671974,97.29095303671448,-468.1903351707276,600.4359880750573
4700,-112.98240527598136,97.29407799591257,-349.3778289658038,268.057271157734
5000,-113.074692925243,97.29720295511065,-296.8511658272296,299.456519036986
5300,-113.16698057450462,97.30032791430874,-106.98173995859158,107.2296951448707
5600,-113.25926822376624,97.30345287350683,-377.72848038963883,316.27309158737796
