key,cct_mean,a,b
[S0002-16] 2025-6-25-3-11-30-45,3800,2.9294278328334826,-350.4386092393379
[S0003-16] 2025-6-23-1-13-19-22,3800,2.2128172686122354,-240.5022708588683
[S0004-16] 2025-6-23-1-13-43-14,3800,-7.018550928748618,1156.2330801148926
[S0005-16] 2025-6-24-2-15-48-45,3800,6.6977203731791715,-930.9887077682138
[S0006-16] 2025-6-25-3-13-23-31,3800,0.5835493035004798,6.967038008046973
[S0007-16] 2025-6-24-2-14-15-7,3800,1.4004077322257478,-116.95948288588507
[S0008-16] 2025-6-25-3-12-5-22,3800,-1.4794894652813575,327.08445696731366
[S0009-16] 2025-6-16-1-14-42-43,3800,2.302623242105924,-246.93735757459856
[S0010-16] 2025-6-23-1-14-39-29,3800,2.623045378947769,-307.81807377253926
[S0011-16] 2025-6-25-3-14-7-10,3800,0.7268747068807722,-17.26212286877047
[S0012-16] 2025-6-26-4-11-33-5,3800,-1.2473762123515024,287.2962589047552
