subject_id,R2,MAE,PCC
prc-i15_002,0.6367501000051536,3.5032477099538006,0.9838164849167554
prc-i15_004,-0.14853009459213173,6.558994752631459,0.9709742165111669
prc-i15_007,-0.22002076734319087,7.489608967727662,0.9959022134756323
prc-i15_008,0.7155936561504562,2.432656538153087,0.9813511703941036
prc-i15_016,0.48695011536981714,2.2644255000640947,0.875108679361745
prc-i15_017,0.7043418384067075,1.6893272695101358,0.9748725228448781
prc-i15_018,0.6899397653033031,1.6151173709806737,0.9698389419359972
prc-i15_019,0.2986005915810125,3.6321610793163916,0.9767463642116151
prc-i15_023,0.6808813827256122,2.1103095466632062,0.9814511950751783
prc-i15_024,0.39533263896078275,2.0466537863935073,0.9769561339094807
prc-i15_028,0.4583779619380608,3.087079708352201,0.9692373913399521
prc-i15_029,-0.24801621853758093,5.975258394559911,0.9218654039000223
prc-i15_034,0.5864405012309806,3.3471832950430325,0.8849453390769948
prc-i15_036,0.3978757725064206,4.462679669610768,0.9570118795727698
prc-i15_038,0.23117102556937297,2.8750460368583846,0.9828948312618577
prc-i15_039,0.4620269305952833,2.2380799040818258,0.9467520942339367
prc-i15_040,0.5339110633057955,4.047159795114566,0.9666348812171275
prc-i15_041,0.4204940483157191,3.5880693928227076,0.9787864719059627
prc-i15_042,0.4303671700488053,3.6386333793005856,0.9346693954394842
prc-i15_045,0.6891447121336596,2.0597989174217624,0.9896489167344352
prc-i15_046,0.6697071355705243,1.8116481984823387,0.988169462839128
prc-i15_049,0.21435089158996223,3.8751205912199302,0.9412834673594999
prc-i15_051,0.2450101030628833,3.34954932794285,0.7564054705772726
prc-i15_052,0.33915069819869326,3.7440888145396625,0.9738910129740004
prc-i15_054,0.5361932583186062,3.775396912595023,0.8382233359023701
prc-i15_055,0.1457925927996193,4.9137955169384675,0.7429095439821667
prc-i15_057,0.37734975010431193,1.9151093331442606,0.8981005325242823
prc-i15_060,0.46119665488234673,3.404078076207638,0.9870991690177927
prc-i15_061,0.11973954049294644,4.95913849028156,0.7225903357397035
prc-i15_062,0.2491648872397082,5.261781991888516,0.9475354173681836
prc-i15_063,0.22491790029355208,5.068872167265004,0.9613725750192883
prc-i15_066,0.03083404534156653,6.091266598895633,0.9759492050237676
prc-i15_067,0.18701101865730907,4.4999858175889536,0.9858473954260013
prc-i15_069,0.30906524060730367,2.7099659762183888,0.9782452716306552
prc-i15_070,0.3299885895069121,6.372223117507497,0.9835662406734967
prc-i15_071,0.5239415242112553,3.3299073886039294,0.9132948000067151
prc-i15_073,0.8128817703212401,1.2357891168519382,0.9829743587955031
prc-i15_074,0.6927540801828522,1.1517114408901477,0.962256976496279
prc-i15_078,0.401788153063359,3.509043907147939,0.9961744260763076
prc-i15_083,0.7732400361769131,2.479365414163359,0.986970288290042
prc-i15_086,0.805521039044963,1.0753432090029977,0.9652115768984217
prc-i15_087,0.8125440970076514,1.2085495772106232,0.9879378880762121
prc-i15_090,-0.03147058035608796,3.2682030100797017,0.9653455937198813
prc-i15_095,0.5513329045856651,1.90767555939774,0.9781659524009285
prc-i15_097,-0.21737047975371104,3.1316473253127652,-0.7501083008536598
prc-i15_098,0.13343281273540109,3.577103107096948,0.9607922364912169
prc-i15_101,0.4581515008146373,3.09150756055594,0.9821339357994788
prc-i15_102,0.04952434380640047,5.675912888882705,0.9231127981075
prc-i15_105,-0.2527684812220763,2.631203123529785,0.9757735639096223
