csv_path,csv_name,n_subjects,mean_PCC,overall_PCC,mean_R2,mean_MAE
./data/prc-c920.csv,prc-c920,38,0.4494908965132882,0.3322768301982547,-0.7319124351304163,4.931701410152009
./data/prc-i15.csv,prc-i15,49,0.49304499495184845,0.36600411353772844,-0.08447018645720211,4.282646864544555
./data/prc-i15m.csv,prc-i15m,48,0.47757127638978325,0.4700506484740407,-0.043256935521580824,3.988292557733153
