channel,avg_R2,avg_MAE,avg_PCC,pcc_lt_0.5_ratio,pcc_lt_0.4_ratio,pcc_lt_0.3_ratio
cg,0.1421821964988491,4.143514385459868,0.6080186508739029,0.2549019607843137,0.12745098039215685,0.06862745098039216
cr,0.19950645185463747,3.9127502689012594,0.6075515056397863,0.24509803921568626,0.17647058823529413,0.12745098039215685
yiq_i,0.2615113031149281,3.6554908942397457,0.627361933126508,0.24509803921568626,0.14705882352941177,0.09803921568627451
dbdr_dr,0.3300340997667033,3.369984999165746,0.5564492581580773,0.3627450980392157,0.28431372549019607,0.22549019607843138
pos_y,0.3596963753381221,3.2252548947264588,0.5756514244137666,0.3627450980392157,0.24509803921568626,0.18627450980392157
chrom_x,0.310898176216166,3.5632115104940327,0.5024404844089175,0.4215686274509804,0.3431372549019608,0.24509803921568626
all,0.5160440484607859,2.752633190138777,0.7140377578187632,0.13725490196078433,0.0784313725490196,0.0392156862745098
