subject_id,R2,MAE,PCC
prc-i15m_002,0.23902809632472832,5.788338928814284,0.5919422739503142
prc-i15m_004,-0.2986800121206672,7.687177382283807,0.28189919121776863
prc-i15m_006,0.5312398220074079,1.653284877971369,0.8390986184145932
prc-i15m_007,-0.07924457240451077,6.778162326418095,0.7635974267678922
prc-i15m_008,0.32611814526140404,3.6333475164768174,0.6202840240031832
prc-i15m_016,-0.10990987207819236,3.3053549040611236,0.18458506910950268
prc-i15m_017,0.372581114203112,2.5114834221793347,0.6866536410013119
prc-i15m_018,0.19835448772552955,2.5376039866147284,0.7531511210446549
prc-i15m_019,-0.08830325184306242,3.802037883467466,0.26397375255298633
prc-i15m_023,0.4779865309383302,2.722593375429046,0.7611553029138195
prc-i15m_024,0.4728360577366558,1.8254322803180103,0.767519399844013
prc-i15m_028,0.2500512633107771,4.485651454865075,0.5833738823071941
prc-i15m_029,-0.10496265407879624,6.232107319705696,0.10008809174729542
prc-i15m_032,-1.0576589292948908,3.079983167155486,0.27672662949325133
prc-i15m_034,0.26913154534558714,4.673268053910597,0.5369544747729553
prc-i15m_036,0.14681077836927559,6.424138029604524,0.5075144199161088
prc-i15m_037,-0.10704080590045395,4.172088654554361,0.20913833287442374
prc-i15m_038,-0.31139311708681316,3.5268319447679373,0.3704965756630738
prc-i15m_039,-0.1384186980392339,3.5405538374988588,0.1285848039937632
prc-i15m_040,0.02609829963481969,5.598679231080056,0.24111533455974238
prc-i15m_041,0.31970371175941703,3.513717423588639,0.5935492163079652
prc-i15m_042,0.37564515364221807,4.879111234638065,0.7616772964394332
prc-i15m_043,-0.8077315199898283,2.8937840274270576,0.7071595571504619
prc-i15m_044,0.04875467079634299,2.9750710082545986,0.25936245337619035
prc-i15m_045,-0.00753587748118445,3.3968898631445574,0.9328779298306686
prc-i15m_046,0.4666639261846893,2.785831305669389,0.7700246082998111
prc-i15m_048,0.15793358226991583,6.751267369526692,0.5095141968768501
prc-i15m_049,0.12768809399825698,3.6561633800087754,0.6970219894107064
prc-i15m_051,0.24474065623069574,3.74955105256789,0.593774867482322
prc-i15m_052,0.22753731789811793,4.040208579145352,0.6134615826052048
prc-i15m_054,0.3803113012996333,4.219560567805075,0.737251299811164
prc-i15m_055,0.3653114396691246,3.846303347406902,0.7140550499788579
prc-i15m_060,-0.15078069729379817,4.462911592371946,0.1785024600432769
prc-i15m_061,0.0849730208195777,3.7511366805720088,0.29618531735128495
prc-i15m_062,0.1674376425599443,5.463365194975664,0.6076773069606867
prc-i15m_063,0.19834737051564266,5.525851843694242,0.5897939909078287
prc-i15m_064,-0.7553871569344279,4.01541197142407,0.8614123280494933
prc-i15m_066,0.214691352705619,5.341349687315846,0.5942137844571908
prc-i15m_067,0.09582654522347822,5.156015117008854,0.7274593579853008
prc-i15m_069,-0.12835438236139685,3.177774909273715,0.14741823460604714
prc-i15m_071,0.5180436257980923,3.9972243707506796,0.8387699390202102
prc-i15m_073,-0.08522584111468579,3.038252500816867,0.3101927131221095
prc-i15m_074,0.43571298108974066,3.2647731864262006,0.724981350875758
prc-i15m_077,0.48739228172390714,4.083809100897621,0.9060824747215925
prc-i15m_078,0.6002510358833222,3.3501400678959103,0.8362208099540138
prc-i15m_086,0.2117855719481011,2.3792447353133435,0.529402717344141
prc-i15m_087,0.219911743051744,2.428783543143933,0.8311436923906519
prc-i15m_090,0.13344181898012686,3.4399240508438744,0.6262954779011118
prc-i15m_092,-0.17754355489786322,3.049515609886484,0.012700204607734474
prc-i15m_095,-0.6637551485827158,3.3536655007235336,0.3620685494502684
prc-i15m_097,0.10954330508784293,4.382196903705026,0.5190670477925874
prc-i15m_098,-0.8211033157925636,5.2175379077800725,-0.194534290888085
prc-i15m_099,-2.5087986569292293,5.106610304107359,-0.09253521307096227
prc-i15m_101,0.3711559469835979,4.242024240698385,0.709663045936048
prc-i15m_102,0.11586999949588406,6.015999510788952,0.5584353743405017
prc-i15m_103,0.43117335981749405,4.663224583769116,0.7722301760295038
prc-i15m_105,-0.19535665990849105,3.6030375514377995,0.21672688756066236
